player_name,rain_group,games,AB,H,season_avg,weather_avg,weather_diff,sample_weight,signal_score,signal_strength
윤석민,비없음,37,97,21,0.2246376811594203,0.21649484536082475,-0.008142835798595538,9.848857801796104,-0.08019763188374228,0.08019763188374228
이대호,비,32,108,25,0.28728070175438597,0.23148148148148148,-0.05579922027290449,10.392304845413264,-0.5798825072123873,0.5798825072123873
이대호,비없음,94,348,106,0.28728070175438597,0.3045977011494253,0.017316999395039334,18.65475810617763,0.32304443483928313,0.32304443483928313
이명기,비,35,134,36,0.2853982300884956,0.26865671641791045,-0.01674151367058513,11.575836902790225,-0.19379703175652638,0.19379703175652638
이명기,비없음,90,318,93,0.2853982300884956,0.29245283018867924,0.007054600100183661,17.832554500127006,0.12580154076312658,0.12580154076312658
이상호,비없음,66,170,45,0.2676767676767677,0.2647058823529412,-0.0029708853238265,13.038404810405298,-0.03873560549734194,0.03873560549734194
이성열,비,28,87,20,0.24615384615384617,0.22988505747126436,-0.016268788682581803,9.327379053088816,-0.1517451587770419,0.1517451587770419
이성열,비없음,91,303,76,0.24615384615384617,0.2508250825082508,0.00467123635440464,17.406895185529212,0.08131172160795515,0.08131172160795515
이우성,비,20,52,13,0.2185430463576159,0.25,0.0314569536423841,7.211102550927978,0.22683931865501913,0.22683931865501913
이우성,비없음,38,99,20,0.2185430463576159,0.20202020202020202,-0.016522844337413883,9.9498743710662,-0.16440022540995067,0.16440022540995067
이원석,비,31,116,36,0.24479166666666666,0.3103448275862069,0.06555316091954025,10.770329614269007,0.7060291503606662,0.7060291503606662
이원석,비없음,79,268,58,0.24479166666666666,0.21641791044776118,-0.028373756218905477,16.3707055437449,-0.46449840822970223,0.46449840822970223
이원재,비,21,69,16,0.2510460251046025,0.2318840579710145,-0.019161967133588004,8.306623862918075,-0.15917125345231398,0.15917125345231398
이원재,비없음,59,170,44,0.2510460251046025,0.25882352941176473,0.007777504307162231,13.038404810405298,0.10140624957145196,0.10140624957145196
이재원,비,29,96,21,0.2668269230769231,0.21875,-0.04807692307692307,9.797958971132712,-0.4710557197659957,0.4710557197659957
이재원,비없음,98,320,90,0.2668269230769231,0.28125,0.014423076923076927,17.88854381999832,0.25800784355766815,0.25800784355766815
이정후,비,47,189,69,0.3425414364640884,0.36507936507936506,0.022537928615276648,13.74772708486752,0.3098452916610495,0.3098452916610495
이정후,비없음,85,354,117,0.3425414364640884,0.3305084745762712,-0.012032961887817217,18.81488772222678,-0.22639882688511492,0.22639882688511492
이지영,비,38,100,28,0.27526132404181186,0.28,0.0047386759581881654,10.0,0.047386759581881654,0.047386759581881654
이지영,비없음,58,187,51,0.27526132404181186,0.2727272727272727,-0.002534051314539154,13.674794331177344,-0.03465263055097252,0.03465263055097252
이창진,비,38,127,31,0.2706766917293233,0.2440944881889764,-0.026582203540346905,11.269427669584644,-0.2995662200961163,0.2995662200961163
이창진,비없음,83,272,77,0.2706766917293233,0.28308823529411764,0.012411543564794347,16.492422502470642,0.204696420378409,0.204696420378409
이천웅,비,38,156,44,0.308411214953271,0.28205128205128205,-0.02635993290198896,12.489995996796797,-0.32923545642167423,0.32923545642167423
이천웅,비없음,94,379,121,0.308411214953271,0.31926121372031663,0.010849998767045621,19.467922333931785,0.21122693332009979,0.21122693332009979
이학주,비,27,96,27,0.2659279778393352,0.28125,0.015322022160664805,9.797958971132712,0.15012454448497994,0.15012454448497994
이학주,비없음,81,265,69,0.2659279778393352,0.26037735849056604,-0.005550619348769159,16.278820596099706,-0.09035753657585292,0.09035753657585292
이형종,비,29,102,29,0.28974358974358977,0.28431372549019607,-0.005429864253393701,10.099504938362077,-0.0548389408417854,0.0548389408417854
이형종,비없음,81,288,84,0.28974358974358977,0.2916666666666667,0.0019230769230769162,16.97056274847714,0.032635697593225155,0.032635697593225155
임병욱,비,34,114,31,0.2471590909090909,0.2719298245614035,0.02477073365231261,10.677078252031311,0.2644790615659671,0.2644790615659671
임병욱,비없음,68,238,56,0.2471590909090909,0.23529411764705882,-0.011864973262032091,15.427248620541512,-0.18304389238944652,0.18304389238944652
장성우,비,32,94,22,0.25588235294117645,0.23404255319148937,-0.021839799749687083,9.695359714832659,-0.21174471467312853,0.21174471467312853
장성우,비없음,81,246,65,0.25588235294117645,0.26422764227642276,0.008345289335246309,15.684387141358123,0.1308907487406503,0.1308907487406503
장영석,비,30,95,25,0.24858757062146894,0.2631578947368421,0.014570324115373151,9.746794344808963,0.1420139526897527,0.1420139526897527
장영석,비없음,74,259,63,0.24858757062146894,0.24324324324324326,-0.005344327378225683,16.09347693943108,-0.0860088094182452,0.0860088094182452
장진혁,비,29,81,21,0.25732899022801303,0.25925925925925924,0.0019302690312462123,9.0,0.01737242128121591,0.01737242128121591
장진혁,비없음,71,226,58,0.25732899022801303,0.25663716814159293,-0.0006918220864201019,15.033296378372908,-0.010400366466257707,0.010400366466257707
전준우,비,37,137,34,0.30214424951267055,0.24817518248175183,-0.05396906703091872,11.704699910719626,-0.6316917340584158,0.6316917340584158
